id_bureau,% Abs/Ins,Nom,% Voix/Ins,% Voix/Exp,Nom.1,% Voix/Ins.1,% Voix/Exp.1
61006_0002,30.92,MACRON,38.03,62.19,LE PEN,23.12,37.81
61006_0003,37.75,MACRON,27.01,48.71,LE PEN,28.44,51.29
61006_0004,29.79,MACRON,32.14,52.74,LE PEN,28.8,47.26
61006_0005,29.48,MACRON,43.93,66.67,LE PEN,21.97,33.33
61006_0006,28.24,MACRON,42.19,64.14,LE PEN,23.59,35.86
61006_0007,29.87,MACRON,34.68,54.47,LE PEN,28.99,45.53
61006_0008,37.55,MACRON,35.23,62.37,LE PEN,21.25,37.63
61006_0009,28.66,MACRON,34.84,57.18,LE PEN,26.09,42.82
61006_0010,31.82,MACRON,34.15,56.43,LE PEN,26.36,43.57
61006_0011,33.15,MACRON,29.72,47.92,LE PEN,32.3,52.08
61006_0012,26.01,MACRON,37.82,53.6,LE PEN,32.74,46.4
61007_0001,21.43,MACRON,38.75,53.01,LE PEN,34.34,46.99
61007_0002,18.07,MACRON,43.07,57.42,LE PEN,31.93,42.58
61007_0003,25.0,MACRON,42.74,67.09,LE PEN,20.97,32.91
61007_0004,21.65,MACRON,44.04,60.94,LE PEN,28.22,39.06
61007_0005,31.82,MACRON,36.36,76.19,LE PEN,11.36,23.81
61007_0006,20.74,MACRON,43.7,60.51,LE PEN,28.52,39.49
61007_0007,24.62,MACRON,38.3,54.31,LE PEN,32.22,45.69
61007_0008,16.38,MACRON,61.21,75.53,LE PEN,19.83,24.47
61007_0009,35.71,MACRON,46.43,78.79,LE PEN,12.5,21.21
61008_0001,30.16,MACRON,30.4,46.2,LE PEN,35.41,53.8
61010_0001,20.79,MACRON,39.6,54.05,LE PEN,33.66,45.95
61011_0001,15.0,MACRON,43.82,57.31,LE PEN,32.65,42.69
61012_0001,19.29,MACRON,27.14,36.54,LE PEN,47.14,63.46
61013_0001,17.32,MACRON,39.37,51.55,LE PEN,37.01,48.45
61014_0001,15.28,MACRON,44.44,58.54,LE PEN,31.48,41.46
61015_0001,18.35,MACRON,37.61,49.4,LE PEN,38.53,50.6
61017_0001,18.64,MACRON,23.73,34.15,LE PEN,45.76,65.85
61018_0001,21.31,MACRON,29.51,39.13,LE PEN,45.9,60.87
61020_0001,17.37,MACRON,41.58,55.24,LE PEN,33.68,44.76
61021_0001,22.99,MACRON,43.68,59.38,LE PEN,29.89,40.63
61023_0001,15.9,MACRON,40.95,53.65,LE PEN,35.39,46.35
61024_0001,21.68,MACRON,31.49,43.14,LE PEN,41.51,56.86
61026_0001,18.13,MACRON,40.35,53.49,LE PEN,35.09,46.51
61028_0001,17.05,MACRON,37.86,48.34,LE PEN,40.46,51.66
61029_0001,21.36,MACRON,44.96,60.72,LE PEN,29.08,39.28
61030_0001,17.27,MACRON,39.55,52.1,LE PEN,36.36,47.9
61032_0001,16.1,MACRON,34.83,45.81,LE PEN,41.2,54.19
61034_0001,12.27,MACRON,39.26,46.38,LE PEN,45.4,53.62
61035_0001,16.48,MACRON,43.18,54.68,LE PEN,35.8,45.32
61036_0001,16.77,MACRON,27.74,36.13,LE PEN,49.03,63.87
61037_0001,22.58,MACRON,41.94,57.78,LE PEN,30.65,42.22
61038_0001,26.4,MACRON,40.4,60.3,LE PEN,26.6,39.7
61039_0001,21.82,MACRON,37.27,55.41,LE PEN,30.0,44.59
61040_0001,26.69,MACRON,36.43,53.18,LE PEN,32.07,46.82
61041_0001,21.05,MACRON,32.75,47.46,LE PEN,36.26,52.54
61043_0001,19.31,MACRON,31.96,42.33,LE PEN,43.54,57.67
61044_0001,22.91,MACRON,26.15,36.88,LE PEN,44.74,63.12
61046_0001,14.84,MACRON,31.25,41.24,LE PEN,44.53,58.76
61048_0001,15.46,MACRON,36.08,46.05,LE PEN,42.27,53.95
61049_0001,16.3,MACRON,36.96,47.89,LE PEN,40.22,52.11
61050_0001,19.48,MACRON,45.64,61.65,LE PEN,28.39,38.35
61051_0001,17.36,MACRON,36.78,48.37,LE PEN,39.26,51.63
61052_0001,22.44,MACRON,33.97,49.53,LE PEN,34.62,50.47
61053_0001,22.79,MACRON,26.51,38.0,LE PEN,43.26,62.0
61054_0001,20.0,MACRON,23.5,29.94,LE PEN,55.0,70.06
61055_0001,18.66,MACRON,41.47,55.05,LE PEN,33.87,44.95
61056_0001,16.22,MACRON,39.19,50.0,LE PEN,39.19,50.0
61060_0001,17.36,MACRON,29.75,39.13,LE PEN,46.28,60.87
61061_0001,20.86,MACRON,33.14,46.51,LE PEN,38.11,53.49
61062_0001,20.0,MACRON,35.38,47.92,LE PEN,38.46,52.08
61063_0001,27.37,MACRON,37.1,56.17,LE PEN,28.95,43.83
61064_0001,20.21,MACRON,42.55,59.7,LE PEN,28.72,40.3
61066_0001,16.98,MACRON,35.85,45.78,LE PEN,42.45,54.22
61067_0001,9.02,MACRON,32.33,38.05,LE PEN,52.63,61.95
61068_0001,21.12,MACRON,32.3,44.07,LE PEN,40.99,55.93
61069_0001,17.52,MACRON,32.12,46.81,LE PEN,36.5,53.19
61070_0001,21.3,MACRON,39.88,55.58,LE PEN,31.87,44.42
61071_0001,14.56,MACRON,39.24,50.41,LE PEN,38.61,49.59
61072_0001,27.67,MACRON,36.48,55.77,LE PEN,28.93,44.23
61074_0001,31.72,MACRON,27.73,43.85,LE PEN,35.5,56.15
